id,programme,stress,sleep_hours,exam_score
1527,Psychology,4.62,7.40,77.6
1528,Psychology,13.40,7.19,71.7
1529,Psychology,1.75,8.21,72.3
1530,Business,9.84,8.55,67.6
1531,Business,9.01,8.02,76.8
1532,Psychology,16.00,6.58,78.9
1533,Psychology,8.92,8.30,58.8
1534,Business,6.75,6.36,66.1
1535,Business,20.44,7.87,59.1
1536,Psychology,14.65,6.97,82.0
1537,Psychology,24.12,4.74,75.5
1538,Psychology,10.74,7.27,52.9
1539,Psychology,15.99,6.93,66.1
1540,Business,40.00,4.98,60.1
1541,Psychology,10.82,7.49,58.3
1542,Psychology,33.03,6.16,59.0
1543,Psychology,3.32,8.06,52.3
1544,Business,1.48,7.62,81.2
1545,Business,2.74,6.30,78.5
1546,Psychology,26.17,6.52,55.1
1547,Psychology,22.09,6.63,80.3
1548,Psychology,27.28,8.51,86.8
1549,Psychology,3.25,6.97,57.9
1550,Business,2.14,5.28,56.3
1551,Psychology,12.35,6.28,67.5
1552,Psychology,13.30,4.59,75.7
1553,Business,22.31,7.51,56.3
1554,Business,4.74,6.58,79.1
1555,Business,19.69,7.87,81.0
1556,Psychology,7.43,8.40,77.5
1557,Business,28.66,7.18,57.0
1558,Psychology,3.83,7.56,82.8
1559,Psychology,0.24,7.30,62.5
1560,Psychology,9.76,7.50,78.7
1561,Business,40.00,6.14,65.2
1562,Psychology,25.95,5.79,65.0
1563,Business,0.60,5.33,73.7
1564,Business,25.55,5.69,54.6
1565,Business,12.72,7.33,99.7
1566,Psychology,20.07,5.37,72.4
1567,Business,0.47,8.39,71.1
1568,Business,29.37,6.88,47.4
1569,Business,6.59,7.80,93.3
1570,Business,0.54,7.40,63.4
1571,Business,18.17,5.62,79.7
1572,Psychology,4.59,6.88,72.7
1573,Psychology,8.81,6.44,69.1
1574,Psychology,13.06,7.67,75.0
1575,Psychology,17.69,5.03,76.3
1576,Psychology,11.85,6.43,71.6
1577,Business,40.00,5.89,60.0
1578,Business,1.02,6.25,75.9
1579,Business,7.40,7.84,68.8
1580,Business,4.10,6.39,85.0
1581,Business,3.85,6.25,63.0
1582,Business,22.68,6.07,65.5
1583,Business,14.66,9.10,80.9
1584,Psychology,2.06,7.99,85.3
1585,Psychology,40.00,5.13,74.9
1586,Psychology,9.14,4.75,64.2
1587,Business,0.61,6.66,78.5
1588,Business,7.44,7.43,71.6
1589,Business,0.67,6.98,67.9
1590,Psychology,14.93,5.63,57.3
1591,Business,23.23,6.38,81.1
1592,Business,40.00,5.44,70.1
1593,Psychology,33.07,5.40,63.6
1594,Psychology,2.62,7.23,90.3
1595,Business,3.02,5.28,69.2
1596,Business,2.52,8.80,62.2
1597,Psychology,6.62,6.14,73.6
1598,Business,8.86,6.33,73.1
1599,Business,11.06,8.21,95.7
1600,Business,16.32,5.47,67.1
1601,Business,14.68,7.10,57.5
1602,Business,24.42,7.88,65.5
1603,Psychology,11.59,6.11,63.8
1604,Business,2.67,8.40,90.5
1605,Business,1.56,6.01,73.4
1606,Business,40.00,5.74,50.5
1607,Business,8.04,6.40,62.6
1608,Psychology,40.00,6.46,65.1
1609,Psychology,1.28,5.95,88.5
1610,Business,30.85,6.24,49.1
1611,Psychology,40.00,7.08,56.5
1612,Business,0.56,8.56,76.4
1613,Psychology,4.04,6.37,58.4
1614,Business,7.54,8.54,62.8
1615,Psychology,8.60,9.24,77.8
1616,Business,3.95,7.79,99.3
1617,Business,5.34,6.18,53.3
1618,Business,3.35,4.74,78.7
1619,Business,0.19,6.39,81.7
1620,Business,27.11,6.69,49.8
1621,Psychology,0.36,7.04,71.2
1622,Psychology,12.44,6.37,88.6
1623,Business,3.65,6.30,87.2
1624,Business,0.04,8.12,86.7
1625,Business,6.58,6.71,63.1
1626,Psychology,5.83,6.67,74.5
1627,Business,2.23,8.33,85.5
1628,Business,15.85,5.89,69.7
1629,Psychology,7.96,8.78,69.4
1630,Psychology,10.74,7.04,89.2
1631,Psychology,15.45,7.82,53.6
1632,Psychology,10.86,6.31,62.9
1633,Business,13.29,7.69,74.6
1634,Business,1.12,6.95,60.2
1635,Business,17.83,6.59,95.3
1636,Psychology,6.37,8.61,71.6
1637,Business,27.46,6.43,56.1
1638,Business,4.30,6.55,57.3
1639,Psychology,19.93,6.23,66.6
1640,Psychology,2.77,7.18,75.6
1641,Psychology,9.05,7.90,73.4
1642,Psychology,24.01,7.44,63.8
1643,Business,7.85,7.19,72.3
1644,Business,2.03,5.37,60.0
1645,Psychology,30.97,6.79,82.8
1646,Business,18.92,8.27,60.8
1647,Psychology,12.97,7.28,63.1
1648,Business,18.57,6.99,76.2
1649,Business,40.00,4.83,62.2
1650,Business,19.87,6.44,76.8
1651,Psychology,3.99,6.89,63.3
1652,Psychology,5.07,7.29,71.0
1653,Business,40.00,7.37,55.2
1654,Business,4.27,6.62,59.4
1655,Psychology,2.55,6.75,78.8
1656,Psychology,11.78,6.63,56.6
1657,Business,4.59,6.10,72.4
1658,Business,7.45,5.81,67.9
1659,Psychology,10.36,6.00,49.9
1660,Business,12.45,6.88,59.8
1661,Psychology,16.24,6.51,58.3
1662,Business,13.05,6.59,55.9
1663,Psychology,32.75,5.74,61.7
1664,Business,1.12,7.07,80.8
1665,Business,22.95,8.02,78.4
1666,Psychology,4.35,5.87,66.8
1667,Business,18.69,7.66,73.5
1668,Business,11.70,6.45,74.8
1669,Business,40.00,6.55,83.6
1670,Psychology,1.37,6.61,100.0
1671,Psychology,4.79,7.05,77.2
1672,Psychology,3.24,5.99,80.9
1673,Psychology,15.55,6.29,56.3
1674,Psychology,6.33,7.29,80.1
1675,Business,0.40,6.75,91.3
1676,Business,31.67,6.33,58.9
1677,Psychology,16.50,8.78,71.3
1678,Business,4.77,7.17,71.8
1679,Psychology,11.91,6.24,72.2
1680,Psychology,7.53,8.03,86.3
1681,Business,5.46,6.98,68.6
1682,Business,6.76,7.99,70.3
1683,Business,35.07,5.30,57.6
1684,Psychology,16.91,6.62,82.3
1685,Psychology,1.63,6.63,75.0
1686,Business,11.49,5.27,71.0
1687,Psychology,33.94,5.87,57.3
1688,Business,1.65,7.88,66.4
1689,Psychology,21.49,7.70,58.4
1690,Business,4.73,6.94,60.3
1691,Business,15.76,6.80,82.5
1692,Psychology,17.56,6.45,76.2
1693,Psychology,4.33,7.01,76.7
1694,Psychology,11.17,6.31,83.4
1695,Psychology,8.41,5.59,83.9
1696,Business,10.66,7.37,80.5
1697,Psychology,2.41,8.57,75.4
1698,Business,40.00,5.04,50.4
1699,Psychology,24.51,6.45,53.1
1700,Psychology,25.21,7.67,69.3
1701,Business,19.52,9.05,72.1
1702,Psychology,1.12,5.32,74.4
1703,Business,1.26,8.17,85.1
1704,Psychology,3.76,7.46,81.4
1705,Business,21.51,5.28,73.9
1706,Psychology,15.95,6.84,62.0
1707,Business,0.98,7.15,83.0
1708,Psychology,3.75,5.51,77.7
1709,Business,9.70,6.84,69.2
1710,Psychology,37.08,6.20,70.6
1711,Business,3.32,7.59,86.5
1712,Psychology,3.19,8.98,87.7
1713,Psychology,24.97,7.25,69.4
1714,Psychology,0.21,9.09,90.5
1715,Business,40.00,7.16,63.9
1716,Psychology,38.06,7.64,69.6
1717,Business,5.72,5.81,67.7
1718,Psychology,2.19,5.59,57.0
1719,Business,8.87,6.45,76.4
1720,Psychology,37.20,5.18,44.2
1721,Business,22.65,7.96,79.0
1722,Psychology,11.86,5.45,70.3
1723,Psychology,18.27,5.61,80.0
1724,Business,33.61,6.06,61.1
1725,Business,4.09,7.43,71.5
1726,Business,0.75,6.81,78.1
1727,Business,8.52,8.76,73.8
1728,Psychology,16.09,6.98,50.3
1729,Psychology,3.69,7.24,71.0
1730,Business,1.45,7.56,77.5
1731,Business,3.24,5.71,67.3
1732,Business,11.52,5.07,68.3
1733,Business,16.87,6.85,68.2
1734,Psychology,40.00,5.99,59.0
1735,Psychology,13.44,6.31,76.7
1736,Psychology,40.00,5.45,61.6
1737,Psychology,19.94,5.51,58.4
1738,Psychology,40.00,6.52,57.8
1739,Psychology,6.98,6.82,76.0
1740,Business,24.67,5.33,69.4
1741,Psychology,3.30,6.48,80.4
1742,Psychology,9.36,5.93,70.2
1743,Psychology,40.00,7.00,69.5
1744,Psychology,5.80,5.90,88.3
1745,Business,35.87,5.70,52.0
1746,Psychology,4.30,8.43,81.7
1747,Psychology,11.68,5.84,75.5
1748,Psychology,21.32,6.01,64.9
1749,Psychology,7.59,6.39,69.5
1750,Psychology,2.44,5.67,70.2
1751,Business,8.36,4.99,53.5
1752,Psychology,2.97,8.37,81.9
1753,Business,23.18,6.77,49.1
1754,Psychology,6.35,6.79,60.8
1755,Business,3.97,6.84,74.5
1756,Business,9.52,5.54,55.0
1757,Psychology,4.38,8.55,77.1
1758,Business,33.39,6.99,77.4
1759,Psychology,7.30,5.57,78.3
1760,Psychology,4.22,9.06,59.8
1761,Psychology,7.83,7.90,94.2
1762,Business,24.69,5.96,71.5
1763,Psychology,40.00,6.49,55.8
1764,Business,10.49,6.11,63.7
1765,Psychology,30.24,6.80,72.1
1766,Psychology,2.71,7.64,82.1
1767,Psychology,4.49,8.57,82.1
1768,Business,3.91,8.22,85.8
1769,Psychology,3.91,6.62,88.0
1770,Business,0.02,7.42,70.7
1771,Business,3.46,6.68,71.8
1772,Psychology,6.95,5.80,74.0
1773,Psychology,11.31,6.12,74.2
1774,Business,13.58,6.91,70.5
1775,Business,3.71,7.63,73.5
1776,Psychology,18.32,6.56,78.7
1777,Psychology,5.88,7.42,89.7
1778,Business,7.38,7.63,91.1
1779,Business,5.27,8.31,72.5
1780,Business,0.43,8.05,70.7
1781,Psychology,22.07,5.26,50.9
1782,Psychology,11.92,5.57,71.4
1783,Psychology,14.45,7.85,54.2
1784,Business,5.58,5.69,75.0
1785,Psychology,2.03,5.86,53.1
1786,Business,3.83,6.07,71.9
1787,Psychology,7.23,7.25,95.3
1788,Business,4.27,6.36,66.1
1789,Psychology,1.41,8.21,72.8
1790,Psychology,37.09,6.36,57.9
1791,Business,11.49,8.05,88.2
1792,Psychology,40.00,5.78,58.5
1793,Psychology,2.51,7.20,96.8
1794,Psychology,4.12,8.76,80.5
1795,Business,9.53,6.35,70.1
1796,Business,14.45,7.31,64.1
1797,Business,8.31,8.77,87.8
1798,Business,9.99,8.76,66.1
1799,Psychology,13.40,7.44,74.0
1800,Psychology,40.00,3.54,48.5
1801,Psychology,14.38,8.75,69.0
1802,Business,17.78,8.08,56.6
1803,Psychology,17.03,6.76,65.8
1804,Business,0.63,6.79,80.2
1805,Psychology,0.91,7.79,83.5
1806,Psychology,4.87,7.75,92.7
1807,Psychology,0.98,7.55,80.4
1808,Psychology,0.54,6.74,61.3
1809,Psychology,27.69,4.99,59.4
1810,Business,3.56,8.00,74.5
1811,Psychology,8.67,8.41,67.6
1812,Psychology,21.15,7.74,73.6
1813,Business,16.21,7.84,57.9
1814,Business,2.90,4.79,61.1
1815,Psychology,40.00,6.49,89.4
1816,Psychology,5.16,5.97,57.5
1817,Psychology,4.26,7.15,79.2
1818,Psychology,20.08,6.14,58.9
1819,Business,4.50,5.43,73.4
1820,Business,7.81,9.47,100.0
1821,Business,2.99,7.39,76.4
1822,Psychology,28.41,5.99,44.4
1823,Business,7.44,7.99,92.7
1824,Business,1.66,7.98,82.7
1825,Psychology,8.76,6.96,93.2
1826,Psychology,12.13,7.57,59.8
1827,Psychology,3.60,6.68,87.3
1828,Business,2.97,8.68,84.8
1829,Psychology,40.00,6.72,57.2
1830,Business,5.75,7.67,61.8
1831,Psychology,14.67,6.64,72.0
1832,Psychology,18.97,6.27,50.6
1833,Business,20.35,8.13,69.2
1834,Business,19.12,4.69,47.5
1835,Business,6.09,6.15,67.8
1836,Psychology,6.98,7.08,60.5
1837,Business,2.44,5.93,96.2
1838,Business,12.82,8.78,78.5
1839,Business,15.09,6.95,76.6
1840,Psychology,3.40,7.31,79.7
1841,Psychology,13.50,5.79,66.8
1842,Business,22.92,7.96,63.0
1843,Business,14.90,6.22,63.7
1844,Psychology,12.51,7.01,76.5
1845,Business,40.00,5.67,55.5
1846,Business,23.05,5.27,56.2
1847,Business,10.27,6.80,60.6
1848,Business,25.75,5.88,55.9
1849,Psychology,5.07,4.23,68.2
1850,Business,4.69,8.22,75.6
1851,Psychology,0.80,8.04,94.2
1852,Business,0.37,7.77,89.3
1853,Psychology,3.31,6.57,84.0
1854,Business,12.83,5.95,56.6
1855,Business,17.57,6.45,84.3
1856,Psychology,2.48,7.68,78.4
1857,Business,2.21,7.75,92.6
1858,Business,18.87,7.50,66.9
1859,Business,40.00,7.31,60.5
1860,Business,0.22,5.98,67.5
1861,Business,10.82,7.31,76.4
1862,Business,0.01,6.91,80.5
1863,Psychology,0.80,7.16,56.8
1864,Psychology,16.25,6.37,75.6
1865,Business,14.17,5.78,48.2
1866,Psychology,3.02,6.71,51.6
1867,Psychology,4.42,6.33,80.8
1868,Psychology,23.16,6.07,75.3
1869,Psychology,1.70,8.50,99.0
1870,Business,2.54,7.40,72.6
1871,Psychology,21.56,5.41,87.6
1872,Psychology,2.20,6.68,91.4
1873,Psychology,7.46,7.53,61.8
1874,Business,6.62,4.05,75.1
1875,Business,12.45,3.81,72.7
1876,Business,35.48,7.09,46.2
1877,Business,5.88,7.77,71.0
1878,Business,7.50,7.51,55.1
1879,Business,6.77,8.50,70.3
1880,Psychology,0.83,5.71,75.2
1881,Psychology,12.26,7.00,89.3
1882,Psychology,14.13,4.57,68.1
1883,Psychology,6.66,5.49,78.5
1884,Business,5.62,6.51,66.6
1885,Business,8.32,6.24,77.1
1886,Psychology,8.13,7.54,100.0
1887,Psychology,12.92,6.92,70.9
1888,Psychology,9.69,7.99,91.3
1889,Business,18.82,5.71,74.7
1890,Psychology,5.89,5.68,85.0
1891,Business,11.50,5.47,64.2
1892,Business,8.61,9.78,72.4
1893,Business,11.22,6.96,58.2
1894,Business,5.01,7.36,83.6
1895,Psychology,8.63,4.33,59.3
1896,Psychology,18.58,6.23,76.5
1897,Business,6.37,5.73,72.3
1898,Psychology,26.29,6.40,61.8
1899,Business,6.29,7.50,84.8
1900,Psychology,9.11,5.94,55.9
1901,Psychology,2.69,8.34,89.0
1902,Psychology,13.18,4.99,92.3
1903,Business,4.81,7.04,61.3
1904,Business,1.50,6.88,81.8
1905,Business,2.43,5.25,75.6
1906,Psychology,2.73,9.90,74.8
1907,Psychology,5.97,9.26,84.7
1908,Business,0.81,7.44,68.3
1909,Business,24.73,7.06,56.0
1910,Psychology,22.68,6.23,61.5
1911,Psychology,17.66,7.13,65.3
1912,Business,8.11,6.66,74.8
1913,Psychology,0.10,7.99,86.6
1914,Psychology,37.59,5.12,51.5
1915,Psychology,3.27,5.99,72.7
1916,Psychology,2.51,7.02,65.8
1917,Psychology,5.06,8.58,83.4
1918,Psychology,7.10,7.25,73.0
1919,Business,4.32,6.07,78.9
1920,Psychology,2.23,6.77,76.1
1921,Business,6.53,6.57,82.6
1922,Psychology,9.63,5.97,82.9
1923,Business,2.12,6.86,99.1
1924,Business,40.00,5.48,41.9
1925,Business,21.99,7.53,68.2
1926,Business,3.94,7.17,81.9
1927,Business,2.09,8.13,86.5
1928,Psychology,24.16,7.73,77.7
1929,Business,6.92,7.47,63.6
1930,Psychology,5.39,8.64,78.4
1931,Psychology,5.29,6.44,57.9
1932,Business,3.86,6.89,83.7
1933,Psychology,20.22,6.33,73.1
1934,Psychology,21.54,5.99,55.8
1935,Psychology,6.30,6.46,56.8
1936,Business,1.49,6.76,78.7
1937,Business,12.45,7.14,72.3
1938,Business,0.14,7.84,82.1
1939,Psychology,27.85,5.90,40.6
1940,Business,2.15,8.14,78.4
1941,Business,1.62,8.47,90.0
1942,Business,0.74,6.02,62.6
1943,Business,6.49,6.94,87.0
1944,Business,2.13,5.65,76.9
1945,Psychology,4.15,8.14,73.0
1946,Business,23.35,5.81,53.5
1947,Business,12.84,7.08,75.9
1948,Psychology,4.04,8.53,100.0
1949,Business,14.87,7.48,78.3
1950,Psychology,4.46,7.37,79.7
1951,Psychology,4.95,6.12,65.8
1952,Psychology,9.76,6.22,74.5
1953,Business,11.91,7.01,100.0
1954,Business,26.19,6.74,73.6
1955,Psychology,34.39,5.02,70.9
1956,Business,0.41,7.85,70.6
1957,Business,2.46,7.48,91.9
1958,Business,0.67,7.98,77.5
1959,Business,0.05,5.29,89.4
1960,Psychology,34.80,8.06,61.2
1961,Business,7.76,9.15,69.8
1962,Psychology,11.80,8.97,52.8
1963,Business,11.07,5.80,70.7
1964,Business,6.86,6.67,65.7
1965,Business,15.97,7.35,72.7
1966,Business,9.32,7.57,87.8
1967,Business,19.91,7.05,52.7
1968,Psychology,5.88,8.42,69.7
1969,Business,1.52,6.13,88.4
1970,Business,10.31,6.52,77.1
1971,Psychology,1.02,6.24,78.3
1972,Psychology,26.87,6.53,57.6
1973,Business,1.47,7.43,65.2
1974,Business,8.25,7.42,79.6
1975,Psychology,19.03,6.59,81.0
1976,Business,38.27,6.51,58.1
1977,Business,40.00,6.04,67.9
1978,Business,29.91,6.37,45.5
1979,Business,1.12,5.94,79.7
1980,Psychology,14.58,6.71,54.1
1981,Business,1.23,6.35,71.6
1982,Psychology,10.26,7.20,81.6
1983,Business,1.54,7.17,79.6
1984,Psychology,8.81,7.93,77.4
1985,Psychology,0.05,5.74,76.9
1986,Psychology,28.89,7.03,62.6
1987,Business,11.66,6.69,69.8
1988,Business,6.50,7.16,76.6
1989,Psychology,9.15,4.61,69.9
1990,Psychology,1.93,6.98,95.9
1991,Psychology,0.15,7.16,72.2
1992,Business,6.85,7.78,80.0
1993,Psychology,0.69,6.41,93.7
1994,Psychology,12.37,6.75,72.3
1995,Psychology,2.59,8.30,81.2
1996,Business,3.59,7.69,68.6
1997,Psychology,40.00,5.88,45.9
1998,Psychology,36.84,6.06,43.2
1999,Psychology,18.41,6.48,76.6
2000,Psychology,21.42,4.88,73.9
2001,Psychology,9.15,4.82,81.4
2002,Business,40.00,5.46,53.3
2003,Psychology,3.82,8.04,78.3
2004,Business,10.67,7.27,50.8
2005,Psychology,9.21,7.85,80.1
2006,Business,19.17,5.54,66.4
2007,Business,40.00,5.95,59.1
2008,Psychology,2.63,5.36,54.9
2009,Business,36.26,5.77,76.0
2010,Business,7.07,7.51,81.5
2011,Psychology,40.00,7.52,67.3
2012,Psychology,10.08,7.14,78.0
2013,Business,6.84,6.96,51.7
2014,Business,11.46,7.61,53.1
2015,Psychology,8.96,6.31,66.5
2016,Psychology,16.58,7.31,63.8
2017,Psychology,1.23,6.07,75.5
2018,Psychology,6.47,7.02,74.6
2019,Business,21.10,8.22,84.8
2020,Psychology,8.43,6.10,76.8
2021,Business,19.14,6.47,70.3
2022,Psychology,10.79,6.79,65.6
2023,Psychology,17.92,7.71,79.6
2024,Psychology,14.32,7.31,61.8
2025,Psychology,40.00,5.86,63.9
2026,Business,11.43,8.32,97.7
2027,Business,2.11,9.04,89.8
2028,Business,10.48,7.48,73.4
2029,Psychology,7.09,6.39,74.1
2030,Business,5.41,6.60,70.9
2031,Business,4.40,6.25,61.1
2032,Business,22.38,7.30,66.5
2033,Business,0.10,7.41,78.9
2034,Business,7.85,8.04,87.1
2035,Psychology,18.05,6.73,69.2
2036,Business,15.11,5.92,52.0
2037,Business,22.34,6.64,64.2
2038,Business,7.09,5.71,81.0
2039,Psychology,9.91,7.96,60.0
2040,Psychology,2.65,7.87,73.4
2041,Business,11.08,6.40,78.8
2042,Psychology,40.00,6.64,48.0
2043,Business,0.23,4.66,53.5
2044,Business,30.78,8.16,73.5
2045,Psychology,5.08,8.13,84.9
2046,Business,25.11,6.12,63.2
2047,Business,13.75,6.96,88.5
2048,Psychology,12.60,5.96,79.1
2049,Psychology,18.43,6.15,52.3
2050,Psychology,3.58,7.15,84.7
2051,Psychology,11.66,5.35,77.4
2052,Business,0.40,8.30,76.8
2053,Business,12.89,6.48,73.8
2054,Psychology,0.91,7.94,75.3
2055,Psychology,40.00,4.94,64.6
2056,Business,6.01,6.31,78.4
2057,Psychology,4.84,6.75,77.2
2058,Business,19.08,5.14,65.8
2059,Business,17.36,6.20,77.6
2060,Psychology,9.95,6.97,75.1
2061,Psychology,3.90,7.15,77.8
2062,Business,0.56,6.23,84.3
2063,Psychology,23.61,7.90,64.0
2064,Psychology,0.22,8.82,67.7
2065,Psychology,1.82,7.38,82.1
2066,Psychology,0.38,7.26,90.6
2067,Psychology,0.05,6.77,87.5
2068,Psychology,3.61,6.89,79.5
2069,Business,22.57,5.50,60.8
2070,Business,13.51,5.64,71.8
2071,Psychology,11.80,5.47,73.5
2072,Business,15.12,7.66,76.4
2073,Business,3.13,4.38,82.1
2074,Psychology,0.54,6.47,90.1
2075,Psychology,7.81,6.02,66.4
2076,Psychology,40.00,3.66,39.7
2077,Psychology,24.06,5.63,93.7
2078,Business,5.74,10.33,61.4
2079,Psychology,0.93,6.50,80.4
2080,Psychology,5.29,7.60,81.6
2081,Psychology,7.93,8.59,80.0
2082,Psychology,2.74,8.54,74.4
2083,Business,1.09,7.04,75.8
2084,Psychology,12.19,6.37,75.8
2085,Business,1.91,5.37,45.7
2086,Psychology,13.52,7.10,68.6
2087,Business,3.84,7.04,93.7
2088,Business,16.33,6.28,69.5
2089,Business,7.72,5.76,68.5
2090,Psychology,17.87,5.28,68.5
2091,Psychology,3.21,6.62,72.5
2092,Business,19.70,6.71,65.8
2093,Psychology,11.92,7.27,77.7
2094,Business,27.69,5.52,53.7
2095,Business,2.42,7.54,93.6
2096,Business,18.67,5.48,66.5
2097,Psychology,14.80,7.92,81.8
2098,Business,8.67,8.27,75.5
2099,Psychology,6.07,8.54,89.2
2100,Psychology,22.18,6.56,60.6
2101,Business,9.68,7.22,73.3
2102,Business,22.40,7.28,76.1
2103,Psychology,5.39,6.80,79.3
2104,Psychology,7.38,8.14,69.0
2105,Business,40.00,7.00,65.8
2106,Business,12.04,7.13,73.8
2107,Business,12.58,7.90,82.1
2108,Psychology,14.75,3.90,62.8
2109,Business,0.41,8.10,77.6
2110,Business,5.30,8.50,61.6
2111,Business,33.11,6.43,79.5
2112,Business,16.87,7.60,73.2
2113,Psychology,21.91,7.85,79.1
2114,Business,5.14,7.18,68.4
2115,Psychology,5.72,8.30,74.9
2116,Psychology,11.71,6.44,77.5
2117,Business,16.78,7.00,82.5
2118,Business,8.15,6.77,49.1
2119,Business,3.51,8.73,83.3
2120,Psychology,40.00,6.23,71.0
2121,Psychology,23.79,6.61,74.3
2122,Business,3.89,8.06,79.5
2123,Business,10.11,8.19,98.7
2124,Business,4.69,6.57,67.5
2125,Psychology,28.90,5.25,88.1
2126,Psychology,10.00,7.52,77.4
2127,Business,6.17,6.41,48.2
2128,Business,0.67,6.81,78.8
2129,Business,13.55,8.05,67.7
2130,Psychology,12.16,6.84,77.4
2131,Psychology,18.68,7.10,54.9
2132,Business,0.74,10.57,100.0
2133,Business,7.72,7.19,82.9
2134,Business,26.27,5.90,62.5
2135,Psychology,16.05,6.60,71.5
2136,Psychology,2.56,7.09,78.1
2137,Business,1.17,5.59,77.3
2138,Psychology,11.78,7.22,79.6
2139,Psychology,1.41,7.79,91.6
2140,Business,2.19,7.13,51.3
2141,Psychology,8.54,7.14,72.0
2142,Business,3.41,7.43,57.3
2143,Business,8.86,5.52,74.6
2144,Psychology,26.73,5.71,77.6
2145,Business,7.31,7.16,96.3
2146,Psychology,28.19,4.91,83.5
2147,Business,7.89,6.21,84.3
2148,Psychology,15.04,8.19,67.5
2149,Psychology,1.38,7.56,89.0
2150,Psychology,1.53,6.82,80.3
2151,Business,24.79,7.15,65.8
2152,Psychology,34.34,5.63,74.6
2153,Business,4.34,8.75,68.6
2154,Business,30.76,7.21,64.4
2155,Psychology,24.57,5.74,89.2
2156,Psychology,0.25,6.91,73.8
2157,Business,0.09,7.11,70.9
2158,Psychology,11.95,6.69,72.3
2159,Psychology,8.85,7.68,87.0
2160,Psychology,14.69,7.27,75.7
2161,Business,2.22,7.43,87.1
2162,Business,13.84,6.03,56.4
2163,Psychology,6.36,6.85,71.4
2164,Psychology,4.80,8.00,94.0
2165,Business,6.37,7.89,85.9
2166,Business,2.32,7.11,86.4
2167,Psychology,3.07,6.31,64.9
2168,Business,3.25,7.85,74.8
2169,Business,3.28,7.01,78.5
2170,Psychology,2.37,8.75,77.8
2171,Business,0.25,6.66,67.6
2172,Business,12.79,7.14,100.0
2173,Psychology,9.16,7.07,60.1
2174,Business,7.23,6.73,78.1
2175,Business,34.67,6.94,66.9
2176,Business,9.91,5.83,79.7
2177,Psychology,1.42,8.39,84.3
2178,Business,4.99,5.81,83.4
2179,Business,12.99,8.06,69.0
2180,Business,11.43,9.23,51.3
2181,Psychology,9.51,7.15,83.0
2182,Psychology,2.00,8.30,73.5
2183,Psychology,6.33,8.30,71.6
2184,Business,12.04,7.30,78.7
2185,Business,0.03,7.33,54.6
2186,Business,3.33,7.93,70.2
2187,Business,2.24,8.45,83.2
2188,Business,3.14,6.23,80.7
2189,Psychology,14.53,8.15,73.3
2190,Business,0.21,6.00,81.4
2191,Psychology,11.35,6.54,71.9
2192,Business,6.76,6.21,69.3
2193,Psychology,40.00,4.74,53.1
2194,Psychology,8.49,8.50,64.1
2195,Business,3.33,6.13,73.2
2196,Psychology,11.28,7.01,83.7
2197,Psychology,3.59,5.11,61.4
2198,Psychology,14.78,6.95,57.4
2199,Psychology,14.69,7.93,61.0
2200,Business,14.65,7.41,86.1
2201,Business,0.74,7.16,60.1
2202,Psychology,3.02,7.70,89.0
2203,Psychology,16.24,6.66,90.5
2204,Business,0.28,7.36,75.3
2205,Business,32.89,7.21,65.7
2206,Business,5.29,8.44,69.6
2207,Psychology,12.84,7.01,58.4
2208,Business,18.16,8.64,42.3
2209,Psychology,16.99,4.70,57.8
2210,Psychology,4.24,8.56,62.7
2211,Psychology,10.92,7.66,68.1
2212,Business,3.67,5.80,74.5
2213,Psychology,12.32,6.48,90.3
2214,Psychology,40.00,5.49,50.4
2215,Psychology,1.62,8.11,87.7
2216,Business,29.41,6.58,68.0
2217,Business,31.57,6.44,72.6
2218,Business,15.39,6.61,88.4
2219,Business,10.97,7.18,86.9
2220,Psychology,0.70,7.07,71.1
2221,Psychology,35.86,6.89,71.5
2222,Psychology,2.44,7.61,62.9
2223,Business,12.61,5.20,84.9
2224,Business,9.29,5.48,58.1
2225,Business,10.29,7.05,64.0
2226,Business,22.69,6.84,63.2
2227,Business,37.20,7.82,83.6
2228,Psychology,0.36,6.24,85.3
2229,Psychology,16.71,5.85,72.2
2230,Psychology,2.39,8.35,77.6
2231,Business,1.71,8.11,89.9
2232,Business,29.83,6.14,64.3
2233,Business,25.45,5.26,67.9
2234,Business,5.25,6.64,76.6
2235,Psychology,2.27,6.20,67.3
2236,Business,32.41,7.28,62.0
2237,Psychology,2.93,7.43,98.8
2238,Business,14.33,5.97,59.6
2239,Psychology,4.89,4.64,62.5
2240,Business,11.24,7.50,50.3
2241,Business,2.39,7.50,83.8
2242,Business,31.09,5.78,64.1
2243,Business,27.38,5.75,79.8
2244,Business,19.07,6.26,57.9
2245,Business,28.83,6.77,63.5
2246,Psychology,3.64,7.25,65.5
2247,Psychology,2.01,7.46,67.8
2248,Business,20.29,7.33,50.5
2249,Business,4.11,6.18,98.4
2250,Business,3.33,8.61,82.7
2251,Psychology,0.63,6.92,89.8
2252,Psychology,11.58,6.49,72.4
2253,Psychology,20.16,6.42,73.8
2254,Psychology,40.00,5.93,77.1
2255,Business,10.26,6.85,77.2
2256,Business,4.03,6.66,77.4
2257,Business,19.70,6.77,74.2
2258,Business,40.00,5.76,72.2
2259,Business,24.67,6.68,98.6
2260,Psychology,32.26,7.65,59.3
2261,Psychology,10.97,6.53,67.7
2262,Business,5.03,7.95,75.3
